day,crimedate,NUMCRIMES
1,2001-01-01,1820
2,2001-01-02,1143
3,2001-01-03,1151
4,2001-01-04,1166
5,2001-01-05,1267
6,2001-01-06,1290
7,2001-01-07,1105
1,2001-01-08,1157
2,2001-01-09,1184
3,2001-01-10,1237
4,2001-01-11,1228
5,2001-01-12,1353
6,2001-01-13,1311
7,2001-01-14,1119
1,2001-01-15,1312
2,2001-01-16,1251
3,2001-01-17,1288
4,2001-01-18,1278
5,2001-01-19,1214
6,2001-01-20,1256
7,2001-01-21,1105
1,2001-01-22,1180
2,2001-01-23,1250
3,2001-01-24,1101
4,2001-01-25,1183
5,2001-01-26,1296
6,2001-01-27,1215
7,2001-01-28,1076
1,2001-01-29,1172
2,2001-01-30,1211
3,2001-01-31,1189
4,2001-02-01,1332
5,2001-02-02,1236
6,2001-02-03,1184
7,2001-02-04,1149
1,2001-02-05,1313
2,2001-02-06,1195
3,2001-02-07,1245
4,2001-02-08,1242
5,2001-02-09,1285
6,2001-02-10,1089
7,2001-02-11,1049
1,2001-02-12,1235
2,2001-02-13,1241
3,2001-02-14,1228
4,2001-02-15,1294
5,2001-02-16,1213
6,2001-02-17,1078
7,2001-02-18,1080
1,2001-02-19,1211
2,2001-02-20,1257
3,2001-02-21,1223
4,2001-02-22,1126
5,2001-02-23,1201
6,2001-02-24,1237
7,2001-02-25,1162
1,2001-02-26,1204
2,2001-02-27,1247
3,2001-02-28,1226
4,2001-03-01,1593
5,2001-03-02,1397
6,2001-03-03,1323
7,2001-03-04,1162
1,2001-03-05,1232
2,2001-03-06,1248
3,2001-03-07,1369
4,2001-03-08,1356
5,2001-03-09,1420
6,2001-03-10,1267
7,2001-03-11,1144
1,2001-03-12,1264
2,2001-03-13,1291
3,2001-03-14,1317
4,2001-03-15,1258
5,2001-03-16,1256
6,2001-03-17,1088
7,2001-03-18,1191
1,2001-03-19,1344
2,2001-03-20,1433
3,2001-03-21,1373
4,2001-03-22,1374
5,2001-03-23,1481
6,2001-03-24,1338
7,2001-03-25,1102
