day,crimedate,NUMCRIMES
4,2015-01-01,1221
5,2015-01-02,673
6,2015-01-03,648
7,2015-01-04,514
1,2015-01-05,523
2,2015-01-06,503
3,2015-01-07,474
4,2015-01-08,447
5,2015-01-09,590
6,2015-01-10,647
7,2015-01-11,649
1,2015-01-12,607
2,2015-01-13,612
3,2015-01-14,675
4,2015-01-15,763
5,2015-01-16,710
6,2015-01-17,741
7,2015-01-18,697
1,2015-01-19,708
2,2015-01-20,793
3,2015-01-21,745
4,2015-01-22,752
5,2015-01-23,800
6,2015-01-24,756
7,2015-01-25,646
1,2015-01-26,656
2,2015-01-27,675
3,2015-01-28,646
4,2015-01-29,703
5,2015-01-30,714
6,2015-01-31,636
7,2015-02-01,562
1,2015-02-02,473
2,2015-02-03,511
3,2015-02-04,577
4,2015-02-05,572
5,2015-02-06,694
6,2015-02-07,679
7,2015-02-08,615
1,2015-02-09,607
2,2015-02-10,629
3,2015-02-11,606
4,2015-02-12,610
5,2015-02-13,632
6,2015-02-14,597
7,2015-02-15,552
1,2015-02-16,537
2,2015-02-17,597
3,2015-02-18,511
4,2015-02-19,463
5,2015-02-20,651
6,2015-02-21,652
7,2015-02-22,592
1,2015-02-23,572
2,2015-02-24,628
3,2015-02-25,571
4,2015-02-26,517
5,2015-02-27,638
6,2015-02-28,545
7,2015-03-01,756
1,2015-03-02,658
2,2015-03-03,636
3,2015-03-04,562
4,2015-03-05,613
5,2015-03-06,712
6,2015-03-07,697
7,2015-03-08,625
1,2015-03-09,726
2,2015-03-10,753
3,2015-03-11,746
4,2015-03-12,751
5,2015-03-13,814
6,2015-03-14,798
7,2015-03-15,778
1,2015-03-16,779
2,2015-03-17,692
3,2015-03-18,689
4,2015-03-19,717
5,2015-03-20,775
6,2015-03-21,689
7,2015-03-22,656
1,2015-03-23,592
2,2015-03-24,639
3,2015-03-25,723
4,2015-03-26,684
5,2015-03-27,725
6,2015-03-28,657
7,2015-03-29,619
1,2015-03-30,719
2,2015-03-31,693
3,2015-04-01,927
4,2015-04-02,794
5,2015-04-03,710
6,2015-04-04,694
7,2015-04-05,673
1,2015-04-06,676
2,2015-04-07,603
3,2015-04-08,679
4,2015-04-09,648
5,2015-04-10,714
6,2015-04-11,720
7,2015-04-12,773
1,2015-04-13,735
2,2015-04-14,767
3,2015-04-15,798
4,2015-04-16,686
5,2015-04-17,785
6,2015-04-18,769
7,2015-04-19,703
1,2015-04-20,743
2,2015-04-21,663
3,2015-04-22,682
4,2015-04-23,731
5,2015-04-24,761
6,2015-04-25,695
7,2015-04-26,718
1,2015-04-27,721
2,2015-04-28,718
3,2015-04-29,766
4,2015-04-30,666
5,2015-05-01,951
6,2015-05-02,685
7,2015-05-03,745
1,2015-05-04,779
2,2015-05-05,696
3,2015-05-06,739
4,2015-05-07,825
5,2015-05-08,807
6,2015-05-09,685
7,2015-05-10,741
1,2015-05-11,748
2,2015-05-12,757
3,2015-05-13,767
4,2015-05-14,755
5,2015-05-15,822
6,2015-05-16,882
7,2015-05-17,836
1,2015-05-18,758
2,2015-05-19,707
3,2015-05-20,729
4,2015-05-21,745
5,2015-05-22,824
6,2015-05-23,798
7,2015-05-24,687
1,2015-05-25,708
2,2015-05-26,770
3,2015-05-27,737
4,2015-05-28,800
5,2015-05-29,828
6,2015-05-30,719
7,2015-05-31,666
1,2015-06-01,954
2,2015-06-02,772
3,2015-06-03,777
4,2015-06-04,721
5,2015-06-05,786
6,2015-06-06,758
7,2015-06-07,739
1,2015-06-08,681
2,2015-06-09,730
3,2015-06-10,793
4,2015-06-11,802
5,2015-06-12,827
6,2015-06-13,813
7,2015-06-14,794
1,2015-06-15,739
2,2015-06-16,847
3,2015-06-17,722
4,2015-06-18,768
5,2015-06-19,775
6,2015-06-20,766
7,2015-06-21,783
1,2015-06-22,780
2,2015-06-23,732
3,2015-06-24,728
4,2015-06-25,784
5,2015-06-26,784
6,2015-06-27,723
7,2015-06-28,797
1,2015-06-29,751
2,2015-06-30,748
3,2015-07-01,888
4,2015-07-02,757
5,2015-07-03,768
6,2015-07-04,845
7,2015-07-05,898
1,2015-07-06,757
2,2015-07-07,701
3,2015-07-08,718
4,2015-07-09,671
5,2015-07-10,739
6,2015-07-11,798
7,2015-07-12,801
1,2015-07-13,782
2,2015-07-14,711
3,2015-07-15,794
