Factory	Year	Sales	Profit
A	2003	10	8.04
A	2004	8	6.95
A	2005	13	7.58
A	2006	9	8.81
A	2007	11	8.33
A	2008	14	9.96
A	2009	6	7.24
A	2010	4	4.26
A	2011	12	10.84
A	2012	7	4.82
A	2013	5	5.68
B	2004	10	9.14
B	2005	8	8.14
B	2006	13	8.74
B	2007	9	8.77
B	2008	11	9.26
B	2009	14	8.1
B	2010	6	6.13
B	2011	4	3.1
B	2012	12	9.13
B	2013	7	7.26
B	2014	5	4.74
B	2015	NA	NA
C	1991	10	7.46
C	1992	8	6.77
C	1993	13	12.74
C	1994	9	7.11
C	1995	11	7.81
C	1996	14	8.84
C	1997	6	6.08
C	1998	4	5.39
C	1999	12	8.15
C	2000	7	6.42
C	2001	5	5.73
D	2003	8	6.58
D	2004	8	5.76
D	2005	8	7.71
D	2006	8	8.84
D	2007	8	8.47
D	2008	8	7.04
D	2009	8	5.25
D	2010	19	12.5
D	2011	8	5.56
D	2012	8	7.91
D	2013	8	6.89
