date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,day,crimedate,NUMCRIMES
2015-01-01,2015,01,01,22.3,7.3,1020.6,10.0,15.0,18.1,26.0,32.0,6.1,0.0,999.9,0,4,2015-01-01,1221
2015-01-02,2015,01,02,28.4,17.4,1024.5,10.0,5.1,15.0,17.1,36.0,17.1,0.0,999.9,0,5,2015-01-02,673
2015-01-03,2015,01,03,34.3,28.9,1017.5,4.9,4.9,8.9,999.9,37.0,19.9,0.08,999.9,0,6,2015-01-03,648
2015-01-04,2015,01,04,30.6,27.5,1013.0,2.9,9.2,18.1,26.0,37.0,16.0,0.54,2.0,0,7,2015-01-04,514
2015-01-05,2015,01,05,4.5,-5.8,1036.3,10.0,11.3,15.0,25.1,14.0,-0.9,0.03,1.2,0,1,2015-01-05,523
2015-01-06,2015,01,06,9.2,1.6,1029.7,6.7,8.0,15.9,24.1,12.0,-0.9,0.11,2.0,0,2,2015-01-06,503
2015-01-07,2015,01,07,5.4,-6.8,1035.8,10.0,15.4,21.0,28.9,12.0,1.0,0.0,2.0,0,3,2015-01-07,474
2015-01-08,2015,01,08,0.4,-7.8,1033.5,8.2,13.2,22.0,31.1,14.0,-7.1,0.0,3.1,0,4,2015-01-08,447
2015-01-09,2015,01,09,10.3,0.7,1021.1,7.1,15.0,22.0,35.0,19.9,-7.1,0.05,3.1,0,5,2015-01-09,590
2015-01-10,2015,01,10,8.0,-1.7,1031.8,10.0,11.6,15.9,22.0,21.0,0.0,0.0,2.0,0,6,2015-01-10,647
2015-01-11,2015,01,11,27.7,16.7,1026.4,9.2,10.0,14.0,999.9,34.0,21.9,0.0,3.1,0,7,2015-01-11,649
2015-01-12,2015,01,12,26.3,19.8,1032.2,6.8,8.7,17.1,25.1,34.0,19.9,0.15,3.9,0,1,2015-01-12,607
2015-01-13,2015,01,13,19.3,10.8,1040.2,8.3,9.1,15.0,17.1,30.0,17.1,0.03,3.1,0,2,2015-01-13,612
2015-01-14,2015,01,14,13.5,6.3,1030.9,9.8,5.3,8.9,999.9,23.0,5.0,0.0,3.1,0,3,2015-01-14,675
2015-01-15,2015,01,15,23.5,15.9,1021.0,9.7,9.1,17.1,19.0,36.0,5.0,0.0,3.1,0,4,2015-01-15,763
2015-01-16,2015,01,16,29.3,23.2,1020.5,8.5,6.0,12.0,999.9,36.0,17.1,0.0,3.1,0,5,2015-01-16,710
2015-01-17,2015,01,17,36.8,28.6,1010.6,8.3,12.1,19.0,27.0,44.1,21.9,0.0,1.2,0,6,2015-01-17,741
2015-01-18,2015,01,18,38.7,30.6,1008.8,10.0,10.9,14.0,21.0,44.1,30.0,0.0,999.9,0,7,2015-01-18,697
2015-01-19,2015,01,19,34.0,28.6,1016.2,10.0,4.5,8.9,999.9,43.0,27.0,0.0,999.9,0,1,2015-01-19,708
2015-01-20,2015,01,20,36.6,32.2,1012.8,6.7,4.3,9.9,999.9,43.0,27.0,0.0,999.9,0,2,2015-01-20,793
2015-01-21,2015,01,21,34.2,30.0,1017.6,5.7,7.2,11.1,999.9,39.9,33.1,0.01,999.9,0,3,2015-01-21,745
2015-01-22,2015,01,22,32.2,23.8,1028.9,9.8,4.8,8.0,999.9,36.0,30.0,0.0,999.9,0,4,2015-01-22,752
2015-01-23,2015,01,23,31.7,24.3,1024.7,8.2,10.2,14.0,999.9,34.0,30.0,0.0,999.9,0,5,2015-01-23,800
2015-01-24,2015,01,24,35.1,27.7,1008.6,9.7,8.5,14.0,17.1,45.0,30.0,0.0,999.9,0,6,2015-01-24,756
2015-01-25,2015,01,25,34.1,30.2,1007.8,6.4,10.3,20.0,27.0,37.0,28.4,0.0,1.2,0,7,2015-01-25,646
2015-01-26,2015,01,26,25.9,18.1,1015.5,9.0,7.3,15.0,22.0,37.9,21.0,0.06,1.2,0,1,2015-01-26,656
2015-01-27,2015,01,27,29.3,22.5,1019.7,5.8,6.1,11.1,999.9,33.1,21.0,0.04,1.2,0,2,2015-01-27,675
2015-01-28,2015,01,28,28.7,18.5,1024.7,10.0,6.8,14.0,24.1,36.0,24.1,0.0,999.9,0,3,2015-01-28,646
2015-01-29,2015,01,29,36.1,26.1,1012.3,9.3,12.7,18.1,26.0,39.0,24.1,0.03,999.9,0,4,2015-01-29,703
2015-01-30,2015,01,30,29.7,13.3,1030.9,9.8,9.2,18.1,22.9,39.0,23.0,0.0,999.9,0,5,2015-01-30,714
2015-01-31,2015,01,31,30.3,20.6,1026.6,10.0,6.5,15.0,999.9,39.0,23.0,0.0,999.9,0,6,2015-01-31,636
2015-02-01,2015,02,01,31.8,28.6,1016.6,1.4,11.2,21.0,31.1,39.0,23.0,0.25,13.0,1,7,2015-02-01,562
2015-02-02,2015,02,02,18.1,11.5,1020.3,5.0,14.2,25.1,33.0,33.1,10.0,0.21,16.9,1,1,2015-02-02,473
2015-02-03,2015,02,03,16.7,10.0,1023.6,8.9,7.5,11.1,999.9,27.0,8.1,0.0,16.9,1,2,2015-02-03,511
2015-02-04,2015,02,04,25.4,19.8,1019.8,4.5,6.4,14.0,20.0,30.0,8.1,0.05,16.1,0,3,2015-02-04,577
2015-02-05,2015,02,05,11.4,0.2,1032.0,10.0,7.1,13.0,18.1,30.0,3.0,0.0,15.0,0,4,2015-02-05,572
2015-02-06,2015,02,06,20.2,10.6,1024.2,9.8,9.4,15.0,17.1,32.0,3.0,0.0,14.2,0,5,2015-02-06,694
2015-02-07,2015,02,07,33.6,27.1,1012.6,9.6,7.2,11.1,21.0,43.0,15.1,0.0,11.0,0,6,2015-02-07,679
2015-02-08,2015,02,08,38.5,34.5,1005.1,7.1,7.8,17.1,999.9,44.1,25.0,0.0,5.1,0,7,2015-02-08,615
2015-02-09,2015,02,09,29.3,24.6,1019.7,6.9,13.4,15.9,22.9,42.1,27.0,0.0,3.9,0,1,2015-02-09,607
2015-02-10,2015,02,10,28.4,19.1,1024.5,9.6,7.1,13.0,17.1,33.1,25.0,0.0,3.9,0,2,2015-02-10,629
2015-02-11,2015,02,11,32.6,24.3,1017.9,8.9,10.0,15.9,21.0,37.9,25.0,0.0,3.1,0,3,2015-02-11,606
